epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1929,1.81559,4.14081,1.84283,0.45536,0.29175,0.38243,0.20846,1.71917,3.50912,1.86467,3e-05,3e-05,3e-05
2,17.4704,1.91199,3.96991,1.86593,0.24334,0.28105,0.33724,0.22719,1.66071,3.00546,1.77483,6.8845e-05,6.8845e-05,6.8845e-05
3,19.3904,1.60428,2.83882,1.61707,0.59588,0.38434,0.37863,0.26518,1.59122,2.81706,1.74997,0.00010637,0.00010637,0.00010637
4,21.2975,1.68839,2.42862,1.62541,0.24214,0.43729,0.34237,0.26149,1.59593,3.2939,1.70996,0.000142575,0.000142575,0.000142575
5,23.0162,1.57905,2.3962,1.5445,0.22865,0.32108,0.16193,0.10273,1.62959,3.38886,1.67725,0.00017746,0.00017746,0.00017746
6,24.7894,1.34856,1.87166,1.24849,0.16363,0.35131,0.15541,0.07825,1.71548,3.73522,1.69179,0.000211025,0.000211025,0.000211025
7,26.523,1.46618,1.8816,1.37856,0.21101,0.13072,0.20114,0.12949,1.72647,3.78365,1.70983,0.00024327,0.00024327,0.00024327
8,28.8152,1.45054,1.90771,1.4543,0.24067,0.19626,0.22009,0.14158,1.72968,3.62937,1.78237,0.000274195,0.000274195,0.000274195
9,30.7536,1.25039,1.50718,1.27803,0.28697,0.26304,0.21901,0.13871,1.7145,3.71857,1.87818,0.0003038,0.0003038,0.0003038
10,32.4722,1.3643,1.47657,1.2878,0.28473,0.25327,0.18515,0.13328,1.72443,3.91939,1.84616,0.000332085,0.000332085,0.000332085
11,34.1548,1.4283,1.41483,1.36704,0.24774,0.20418,0.10906,0.07172,1.72869,3.30541,1.90318,0.00035905,0.00035905,0.00035905
12,35.8247,1.364,1.65575,1.35054,0.1904,0.12936,0.11474,0.05614,1.86744,3.29799,2.09975,0.000384695,0.000384695,0.000384695
13,37.5233,1.32122,1.30078,1.27916,0.41256,0.20915,0.07211,0.03046,2.0642,3.27316,2.31411,0.00040902,0.00040902,0.00040902
14,39.1859,1.3776,1.35436,1.34185,0.60135,0.16751,0.15197,0.08868,2.09367,3.0526,2.31569,0.000432025,0.000432025,0.000432025
15,41.7813,1.26947,1.40425,1.36682,0.21226,0.26884,0.24539,0.12567,2.04888,2.72472,2.40584,0.00045371,0.00045371,0.00045371
16,43.5503,1.34718,1.40117,1.28188,0.20842,0.15033,0.23196,0.11292,2.09485,2.85451,2.43124,0.000474075,0.000474075,0.000474075
17,45.2353,1.23247,1.19563,1.21857,0.33793,0.18954,0.22804,0.12539,2.0942,3.23226,2.41206,0.00049312,0.00049312,0.00049312
18,46.9816,1.40333,1.40802,1.37781,0.08314,0.36601,0.11058,0.04711,2.13334,3.7071,2.29487,0.000510845,0.000510845,0.000510845
19,48.6567,1.30663,1.1851,1.3118,0.401,0.11765,0.0779,0.03498,1.87626,3.69593,2.17474,0.00052725,0.00052725,0.00052725
20,50.3315,1.29586,1.25102,1.2748,0.41063,0.13725,0.08955,0.03966,1.89034,3.43594,2.10661,0.000542335,0.000542335,0.000542335
21,52.0916,1.40128,1.26924,1.40161,0.06829,0.40523,0.09677,0.04214,1.85612,3.53959,2.22801,0.0005561,0.0005561,0.0005561
22,54.6069,1.29778,1.09584,1.25137,0.28329,0.30719,0.18578,0.08642,1.89036,3.49484,2.33806,0.000568545,0.000568545,0.000568545
23,57.1401,1.3609,1.14025,1.34748,0.24856,0.22876,0.18334,0.09173,1.81772,3.3369,2.27464,0.00057967,0.00057967,0.00057967
24,58.8186,1.14791,1.12987,1.2179,0.14906,0.20915,0.08362,0.04092,1.81731,3.55689,2.20238,0.000589475,0.000589475,0.000589475
25,60.4922,1.08913,0.96127,1.17433,0.09046,0.18954,0.06402,0.03418,1.90343,3.4776,2.19765,0.00059796,0.00059796,0.00059796
26,62.1584,1.17526,1.10071,1.25581,0.19544,0.15033,0.14437,0.08631,1.80697,3.53785,2.06936,0.0005875,0.0005875,0.0005875
27,63.8149,1.22424,1.02186,1.30278,0.31412,0.15033,0.1539,0.09212,1.83847,3.42947,2.1727,0.000571,0.000571,0.000571
28,65.4546,1.07424,0.8938,1.18435,0.67889,0.15033,0.14975,0.09891,1.99539,3.27565,2.23017,0.0005545,0.0005545,0.0005545
29,67.5854,1.21024,1.02381,1.30307,0.35627,0.24183,0.25139,0.07675,1.96001,3.16796,2.24723,0.000538,0.000538,0.000538
30,69.7921,1.20251,1.01453,1.25105,0.15688,0.11111,0.16289,0.11634,2.00474,3.33868,2.28729,0.0005215,0.0005215,0.0005215
31,71.4544,1.09561,0.85385,1.16741,0.0777,0.28105,0.09871,0.07337,1.89699,3.70725,2.19343,0.000505,0.000505,0.000505
32,73.1256,1.1151,0.99737,1.1919,0.07694,0.41176,0.0904,0.05779,1.84507,3.53468,2.17339,0.0004885,0.0004885,0.0004885
33,74.8178,1.0948,0.91819,1.18801,0.77506,0.11111,0.10389,0.07305,1.78873,3.41236,2.14051,0.000472,0.000472,0.000472
34,76.5543,1.06891,1.03925,1.17995,0.1682,0.45739,0.12605,0.07325,1.79164,3.29746,2.05264,0.0004555,0.0004555,0.0004555
35,78.1883,1.13477,0.99383,1.19089,0.08626,0.16993,0.09604,0.0649,1.85484,3.25911,2.05243,0.000439,0.000439,0.000439
